re,im,fd
0.1479131992097693,-0.3014648787378073,0.8115067925565977
0.1496507341523115,-0.301874231485713,0.812537058064219
0.1514351402487018,-0.3023151712935242,0.8135959593761489
0.15326230308421568,-0.30278765634227434,0.814661983797009
0.15512856139976566,-0.3032912823111154,0.8157268970577888
0.15703030975439836,-0.3038256034722223,0.8167830366435358
0.15896413482597638,-0.3043900397557639,0.8178239627616557
0.1609268085195665,-0.3049839083056343,0.8188456931378337
0.16291528677986722,-0.3056064423657177,0.8209161976533684
0.16492670622985822,-0.3062568084097271,0.8207935077817587
0.1669583782467201,-0.3069341222112079,0.8217305437992053
0.1690077796824526,-0.3076374649893622,0.8226327361929324
0.1710725354743723,-0.3083659043974639,0.8234995359039455
0.1731503596279817,-0.3091185492204698,0.8243268884132756
0.17523833080507972,-0.30989504105553206,0.8250610068204006
0.17733985773377053,-0.31068912068120946,0.8259562085840656
0.1794449229504734,-0.311509256859916,0.8266603528720146
0.1815563942101417,-0.31234843395340056,0.8273564293533247
0.18367220032237977,-0.31320665806975184,0.8280228906280586
0.18579082121788087,-0.3140830811651158,0.8286591424690835
0.18791088451790594,-0.3149767966956958,0.8292658854579269
0.19003112175514114,-0.31588689722647945,0.8298442153987684
0.1921503556262021,-0.3168124851149823,0.8303953813593337
0.19426749427418386,-0.3177526741614434,0.8309205761593201
0.19638152912666546,-0.3187065877476408,0.8314198867887079
0.19849153635641478,-0.31967335416517767,0.8315556303108791
0.20059668363794134,-0.3206520983066746,0.8323724416484795
0.20269624602100272,-0.32164192738191655,0.8328096765503755
0.20478963918128631,-0.32264190564956674,0.8332303895750209
0.20687648906441625,-0.32365100703234795,0.8336310588733086
0.20895678631506745,-0.32466801881295465,0.8340030066543291
0.21103126681021125,-0.3256913238115903,0.8343189321851482
0.2131025200793224,-0.32671832901294035,0.8344899086929601
0.21517924740571182,-0.32774358387094205,0.8341835874224798
0.2173052183292687,-0.3287489713322968,0.8319290231837899
0.21935526475610664,-0.33037417259103996,0.7607904389937387
0.2203402515668389,-0.33021896019078023,0.7699802909809781
0.22295974018747947,-0.33228784115431054,0.8084362091782807
0.22500417893278393,-0.3332575808421142,0.824215504470866
0.2269986976352038,-0.33429998338845807,0.8286745282865501
0.2289664708467422,-0.3353631378755498,0.8306942658650524
0.2309137378754131,-0.3364360501479605,0.8318446554047698
0.23284263658817073,-0.3375146525233899,0.832594531113779
0.2347539500733234,-0.3385968878933638,0.8331288865363533
0.23664791296915724,-0.33968146655172116,0.8335345613973727
0.23852450757726304,-0.34076744746897364,0.8338588272535136
0.24038359037563897,-0.34185406920075173,0.8341309188844084
0.24222495226574675,-0.3429406723208566,0.8343724604131727
0.24404834968220426,-0.34402666033311863,0.8346043561442129
0.24585352166322538,-0.34511147735406295,0.8348557295977029
0.24764019998109585,-0.3461945991644071,0.8351870608408388
0.24940811452914463,-0.3472755206850581,0.8357937255704535
0.2511569975336406,-0.3483537551603367,0.8380950259744969
0.2528865856554329,-0.3494288297015086,0.8283768673887721
0.25459662158680146,-0.3505002834645466,0.8328454961069935
0.2562868551335289,-0.35156766639431003,0.8335611264538807
0.2579570439996769,-0.352630538371107,0.8338518862705839
0.2596069556401085,-0.3536884714337616,0.8340037215630448
0.26123636379935716,-0.3547410418252683,0.8340907151744702
0.26284505663579655,-0.3557878436362908,0.8341412320628327
0.2644328323399,-0.3568284808927213,0.8341691202756106
0.26599950417845486,-0.357862574931605,0.8341825957259512
0.26754490483522353,-0.3588897708533918,0.8341877083826251
0.2690688953480806,-0.35990975086966265,0.8341902176469016
0.2705713836822195,-0.36092226220233814,0.834197761861917
0.2720523674898719,-0.36192718157792236,0.8342228429322521
0.2735120476185646,-0.36292468762585633,0.8342933558098026
0.27495119991229366,-0.3639158342841716,0.8344899278409592
0.2763729021815516,-0.36490532929550595,0.8351728210545373
0.27779893181600224,-0.36593697284242727,0.8407852905468705
0.2790621509791825,-0.3665852232873494,0.8386298391006307
0.2804221186901964,-0.3676914188387982,0.8338667213049324
0.2817551990148244,-0.3686449894657287,0.8333846215610361
